"Day ","Items ","Note ","Amount "
"71","Salary Expense","Cash Payment - Salary Expense","28648"
"71","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 10001","98"
"71","Depreciation Expense","Non-Cash Expense - Depreciation","10000"
"71","Rental Expense","Cash Payment - Rental - Chicago","4800"
"71","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Los Angeles","116"
"71","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"71","Rental Expense","Cash Payment - Rental - New York","4020"
"71","Rental Expense","Cash Payment - Rental - Detroit","1000"
"70","Human Resource Expense","Counselled","2000"
"70","Human Resource Expense","Counselled","2000"
"70","Salary Expense","Cash Payment - Salary Expense","27820"
"70","Depreciation Expense","Non-Cash Expense - Depreciation","10000"
"70","Rental Expense","Cash Payment - Rental - Chicago","4800"
"70","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"70","Rental Expense","Cash Payment - Rental - New York","4020"
"70","Rental Expense","Cash Payment - Rental - Detroit","1000"
"69","Salary Expense","Cash Payment - Salary Expense","27820"
"69","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 9665","130"
"69","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 319","15000"
"69","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 322","15000"
"69","Depreciation Expense","Non-Cash Expense - Depreciation","10000"
"69","Rental Expense","Cash Payment - Rental - Chicago","4800"
"69","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"69","Rental Expense","Cash Payment - Rental - New York","4020"
"69","Rental Expense","Cash Payment - Rental - Detroit","1000"
"68","Human Resource Expense","Counselled","2000"
"68","Human Resource Expense","Counselled","2000"
"68","Salary Expense","Cash Payment - Salary Expense","27820"
"68","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 9512","60"
"68","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 9523","55"
"68","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 9530","45"
"68","Depreciation Expense","Non-Cash Expense - Depreciation","10000"
"68","Rental Expense","Cash Payment - Rental - Chicago","4800"
"68","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"68","Rental Expense","Cash Payment - Rental - New York","4020"
"68","Rental Expense","Cash Payment - Rental - Detroit","1000"
"67","Human Resource Expense","Counselled","2000"
"67","Salary Expense","Cash Payment - Salary Expense","27820"
"67","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 9372","68"
"67","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 9380","65"
"67","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 295","15000"
"67","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 298","15000"
"67","Depreciation Expense","Non-Cash Expense - Depreciation","10000"
"67","Rental Expense","Cash Payment - Rental - Chicago","4800"
"67","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"67","Rental Expense","Cash Payment - Rental - New York","4020"
"67","Rental Expense","Cash Payment - Rental - Detroit","1000"
"66","Salary Expense","Cash Payment - Salary Expense","27736"
"66","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 9058","88"
"66","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 9067","55"
"66","Depreciation Expense","Non-Cash Expense - Depreciation","10000"
"66","Rental Expense","Cash Payment - Rental - Chicago","4800"
"66","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"66","Rental Expense","Cash Payment - Rental - New York","4020"
"66","Rental Expense","Cash Payment - Rental - Detroit","1000"
"65","Human Resource Expense","Counselled","2000"
"65","Salary Expense","Cash Payment - Salary Expense","27656"
"65","Depreciation Expense","Non-Cash Expense - Depreciation","10000"
"65","Rental Expense","Cash Payment - Rental - Chicago","4800"
"65","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"65","Rental Expense","Cash Payment - Rental - New York","4020"
"65","Rental Expense","Cash Payment - Rental - Detroit","1000"
"64","Salary Expense","Cash Payment - Salary Expense","27524"
"64","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 8910","63"
"64","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 319","15000"
"64","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 322","15000"
"64","Depreciation Expense","Non-Cash Expense - Depreciation","15000"
"64","Rental Expense","Cash Payment - Rental - Chicago","4800"
"64","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"64","Rental Expense","Cash Payment - Rental - New York","4020"
"64","Rental Expense","Cash Payment - Rental - Detroit","1000"
"63","Human Resource Expense","Counselled","2000"
"63","Salary Expense","Cash Payment - Salary Expense","27480"
"63","Depreciation Expense","Non-Cash Expense - Depreciation","20000"
"63","Rental Expense","Cash Payment - Rental - Chicago","4800"
"63","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"63","Rental Expense","Cash Payment - Rental - New York","4020"
"63","Rental Expense","Cash Payment - Rental - Detroit","1000"
"62","Salary Expense","Cash Payment - Salary Expense","27480"
"62","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 295","15000"
"62","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 298","15000"
"62","Depreciation Expense","Non-Cash Expense - Depreciation","20000"
"62","Rental Expense","Cash Payment - Rental - Chicago","4800"
"62","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"62","Rental Expense","Cash Payment - Rental - New York","4020"
"62","Rental Expense","Cash Payment - Rental - Detroit","1000"
"61","Human Resource Expense","Counselled","2000"
"61","Human Resource Expense","Counselled","2000"
"61","Salary Expense","Cash Payment - Salary Expense","27304"
"61","Depreciation Expense","Non-Cash Expense - Depreciation","20000"
"61","Rental Expense","Cash Payment - Rental - Chicago","3200"
"61","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"61","Rental Expense","Cash Payment - Rental - New York","4020"
"61","Rental Expense","Cash Payment - Rental - Detroit","1000"
"60","Human Resource Expense","Counselled","2000"
"60","Salary Expense","Cash Payment - Salary Expense","26512"
"60","Depreciation Expense","Non-Cash Expense - Depreciation","20000"
"60","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Chicago","1215"
"60","Rental Expense","Cash Payment - Rental - Chicago","3200"
"60","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"60","Rental Expense","Cash Payment - Rental - New York","4020"
"60","Rental Expense","Cash Payment - Rental - Detroit","1000"
"59","Human Resource Expense","Counselled","2000"
"59","Salary Expense","Cash Payment - Salary Expense","26512"
"59","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 319","15000"
"59","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 322","15000"
"59","Depreciation Expense","Non-Cash Expense - Depreciation","20000"
"59","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Chicago","1820"
"59","Rental Expense","Cash Payment - Rental - Chicago","3200"
"59","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"59","Rental Expense","Cash Payment - Rental - New York","4020"
"59","Rental Expense","Cash Payment - Rental - Detroit","1000"
"58","Salary Expense","Cash Payment - Salary Expense","26512"
"58","Depreciation Expense","Non-Cash Expense - Depreciation","20000"
"58","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Chicago","1410"
"58","Rental Expense","Cash Payment - Rental - Chicago","3200"
"58","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"58","Rental Expense","Cash Payment - Rental - New York","4020"
"58","Rental Expense","Cash Payment - Rental - Detroit","1000"
"57","Human Resource Expense","Counselled","2000"
"57","Salary Expense","Cash Payment - Salary Expense","26512"
"57","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 295","15000"
"57","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 298","15000"
"57","Depreciation Expense","Non-Cash Expense - Depreciation","20000"
"57","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Chicago","580"
"57","Rental Expense","Cash Payment - Rental - Chicago","3200"
"57","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"57","Rental Expense","Cash Payment - Rental - New York","4020"
"57","Rental Expense","Cash Payment - Rental - Detroit","1000"
"56","Human Resource Expense","Counselled","2000"
"56","Salary Expense","Cash Payment - Salary Expense","26432"
"56","Depreciation Expense","Non-Cash Expense - Depreciation","20000"
"56","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Chicago","535"
"56","Rental Expense","Cash Payment - Rental - Chicago","3200"
"56","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"56","Rental Expense","Cash Payment - Rental - New York","4020"
"56","Rental Expense","Cash Payment - Rental - Detroit","1000"
"55","Salary Expense","Cash Payment - Salary Expense","26356"
"55","Depreciation Expense","Non-Cash Expense - Depreciation","20000"
"55","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Chicago","70"
"55","Rental Expense","Cash Payment - Rental - Chicago","3200"
"55","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"55","Rental Expense","Cash Payment - Rental - New York","4020"
"55","Rental Expense","Cash Payment - Rental - Detroit","1000"
"54","Human Resource Expense","Counselled","2000"
"54","Salary Expense","Cash Payment - Salary Expense","26230"
"54","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 319","15000"
"54","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 322","15000"
"54","Depreciation Expense","Non-Cash Expense - Depreciation","20000"
"54","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Chicago","840"
"54","Rental Expense","Cash Payment - Rental - Chicago","3200"
"54","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"54","Rental Expense","Cash Payment - Rental - New York","4020"
"54","Rental Expense","Cash Payment - Rental - Detroit","1000"
"53","Human Resource Expense","Counselled","2000"
"53","Salary Expense","Cash Payment - Salary Expense","26188"
"53","Depreciation Expense","Non-Cash Expense - Depreciation","20000"
"53","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Chicago","1095"
"53","Rental Expense","Cash Payment - Rental - Chicago","3200"
"53","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"53","Rental Expense","Cash Payment - Rental - New York","4020"
"53","Rental Expense","Cash Payment - Rental - Detroit","1000"
"52","Human Resource Expense","Counselled","2000"
"52","Salary Expense","Cash Payment - Salary Expense","26188"
"52","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 7023","82"
"52","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 295","15000"
"52","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 298","15000"
"52","Depreciation Expense","Non-Cash Expense - Depreciation","20000"
"52","Rental Expense","Cash Payment - Rental - Chicago","3200"
"52","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"52","Rental Expense","Cash Payment - Rental - New York","4020"
"52","Rental Expense","Cash Payment - Rental - Detroit","1000"
"51","Human Resource Expense","Counselled","2000"
"51","Salary Expense","Cash Payment - Salary Expense","26020"
"51","Depreciation Expense","Non-Cash Expense - Depreciation","20000"
"51","Rental Expense","Cash Payment - Rental - Chicago","3200"
"51","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"51","Rental Expense","Cash Payment - Rental - New York","4020"
"51","Rental Expense","Cash Payment - Rental - Detroit","1000"
"50","Human Resource Expense","Counselled","2000"
"50","Human Resource Expense","Counselled","2000"
"50","Salary Expense","Cash Payment - Salary Expense","25264"
"50","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 6735","215"
"50","Depreciation Expense","Non-Cash Expense - Depreciation","20000"
"50","Rental Expense","Cash Payment - Rental - Chicago","3200"
"50","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"50","Rental Expense","Cash Payment - Rental - New York","4020"
"50","Rental Expense","Cash Payment - Rental - Detroit","1000"
"49","Human Resource Expense","Counselled","2000"
"49","Salary Expense","Cash Payment - Salary Expense","25264"
"49","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 6466","311"
"49","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 319","15000"
"49","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 322","15000"
"49","Depreciation Expense","Non-Cash Expense - Depreciation","20000"
"49","Rental Expense","Cash Payment - Rental - Chicago","3200"
"49","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"49","Overflow Expense - Retail","Cash Payment - Overflow Fee  - New York","70"
"49","Rental Expense","Cash Payment - Rental - New York","4020"
"49","Rental Expense","Cash Payment - Rental - Detroit","1000"
"48","Human Resource Expense","Counselled","2000"
"48","Human Resource Expense","Counselled","2000"
"48","Salary Expense","Cash Payment - Salary Expense","25264"
"48","Depreciation Expense","Non-Cash Expense - Depreciation","20000"
"48","Rental Expense","Cash Payment - Rental - Chicago","3200"
"48","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"48","Overflow Expense - Retail","Cash Payment - Overflow Fee  - New York","420"
"48","Rental Expense","Cash Payment - Rental - New York","4020"
"48","Rental Expense","Cash Payment - Rental - Detroit","1000"
"47","Salary Expense","Cash Payment - Salary Expense","25264"
"47","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 6319","65"
"47","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 295","15000"
"47","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 298","15000"
"47","Depreciation Expense","Non-Cash Expense - Depreciation","20000"
"47","Rental Expense","Cash Payment - Rental - Chicago","3200"
"47","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"47","Overflow Expense - Retail","Cash Payment - Overflow Fee  - New York","700"
"47","Rental Expense","Cash Payment - Rental - New York","4020"
"47","Rental Expense","Cash Payment - Rental - Detroit","1000"
"46","Human Resource Expense","Counselled","2000"
"46","Human Resource Expense","Counselled","2000"
"46","Salary Expense","Cash Payment - Salary Expense","25188"
"46","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 6103","134"
"46","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 6162","179"
"46","Depreciation Expense","Non-Cash Expense - Depreciation","20000"
"46","Rental Expense","Cash Payment - Rental - Chicago","3200"
"46","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Los Angeles","87"
"46","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"46","Rental Expense","Cash Payment - Rental - New York","4020"
"46","Rental Expense","Cash Payment - Rental - Detroit","1000"
"45","Human Resource Expense","Counselled","2000"
"45","Salary Expense","Cash Payment - Salary Expense","25116"
"45","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 5955","70"
"45","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 6022","158"
"45","Depreciation Expense","Non-Cash Expense - Depreciation","20000"
"45","Rental Expense","Cash Payment - Rental - Chicago","3200"
"45","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Los Angeles","232"
"45","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"45","Rental Expense","Cash Payment - Rental - New York","4020"
"45","Rental Expense","Cash Payment - Rental - Detroit","1000"
"44","Human Resource Expense","Counselled","2000"
"44","Human Resource Expense","Counselled","2000"
"44","Salary Expense","Cash Payment - Salary Expense","24996"
"44","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 5855","139"
"44","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 5861","220"
"44","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 319","15000"
"44","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 322","15000"
"44","Depreciation Expense","Non-Cash Expense - Depreciation","20000"
"44","Rental Expense","Cash Payment - Rental - Chicago","3200"
"44","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Los Angeles","348"
"44","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"44","Rental Expense","Cash Payment - Rental - New York","4020"
"44","Rental Expense","Cash Payment - Rental - Detroit","1000"
"43","Human Resource Expense","Counselled","2000"
"43","Salary Expense","Cash Payment - Salary Expense","24956"
"43","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 5713","95"
"43","Depreciation Expense","Non-Cash Expense - Depreciation","20000"
"43","Rental Expense","Cash Payment - Rental - Chicago","3200"
"43","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Los Angeles","464"
"43","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"43","Rental Expense","Cash Payment - Rental - New York","4020"
"43","Rental Expense","Cash Payment - Rental - Detroit","1000"
"42","Human Resource Expense","Counselled","2000"
"42","Salary Expense","Cash Payment - Salary Expense","24956"
